"country","month","Region","CanSino","Johnson","Moderna","AstraZeneca","Pfizer","Sinopharm","Sinovac","Sputnik.V","Covaxin","Vero_mRNA","Vero_In","Vero_AD","F_Vero","population","FW_BW_P"
"Argentina","2021-10","South America",0.0016694598328198,0,0.0563818078851732,0.323522874945006,0.0176616576439722,0.314125776068112,0,0.286638423624916,0,0.0740434655291454,0.314125776068112,0.611830758402742,55.4329,45276780,39.32471
"Botswana","2021-10","Africa",0,0.387060947135477,0,0.158659518822945,0.195326117136924,0,0.222929703325321,0,0.0360237135793328,0.195326117136924,0.258953416904654,0.545720465958422,10,2588423,7.608564
"Brazil","2021-10","South America",0,0.0911211510444639,0,0.485140662664124,0.0650907074507412,0,0.358647478840671,0,0,0.0650907074507412,0.358647478840671,0.576261813708588,48.64387,214326223,33.81297
"Ghana","2021-10","Africa",0,0.270150724112016,0.0377961420651985,0.389206020357822,0.302201614055903,0,0,0.00064549940906066,0,0.339997756121102,0,0.660002243878898,2.513333,32833031,2.037669
"India","2021-10","Asia",0,0,0,0.827904185955494,0,0,0,0.000584937614835297,0.171510876429671,0,0.171510876429671,0.828489123570329,20.04032,1407563842,13.84958
"Kenya","2021-10","Africa",0,0.208443963053867,0.0929281219086343,0.38444859804677,0.303637575489411,0.00843339320105462,0,0.00210834830026366,0,0.396565697398045,0.00843339320105462,0.5950009094009,2.3776,53005614,1.950948
"Mexico","2021-10","North America",0.0629592188796355,0.00601740943525788,0.0279564385021759,0.495517174834293,0.229256145452108,0,0.0891468064482649,0.0891468064482649,0,0.257212583954284,0.0891468064482649,0.653640609597452,40.52773,126705138,31.91215
"Mozambique","2021-10","Africa",0,0.181679496326851,0,0.456710557299817,0.144419284335347,0.217190662037985,0,0,0,0.144419284335347,0.217190662037985,0.638390053626668,6.022,32077072,4.546905
"Nigeria","2021-10","Africa",0,0.532826364394859,0.118780988350126,0.151792392772835,0.193160712734523,0.00343954174765751,0,0,0,0.311941701084649,0.00343954174765751,0.684618757167694,1.265714,213401323,1.019159
"Russia","2021-10","Europe",0,0,0,0,0,0,0,1,0,0,0,1,30.89,145102755,20.6706
"Senegal","2021-10","Africa",0,0.30334132984531,0,0.254888449102117,0.202005455317009,0.238284112980912,0,0.0014806527546508,0,0.202005455317009,0.238284112980912,0.559710431702078,3.35,16876720,2.559165
"Suriname","2021-10","South America",0,0,0,1,0,0,0,0,0,0,0,1,30.42538,612984,22.73689
"Zambia","2021-10","Africa",0,0.610304940298294,0.00929608779770055,0.0764460128714303,0.203038103598089,0.0984477408384933,0,0.00246711459599272,0,0.21233419139579,0.0984477408384933,0.689218067765717,2.454118,19473125,1.90984
