"Var1","Freq"
"Afghanistan",125
"Albania",58
"Algeria",388
"American Samoa",111
"Andorra",343
"Angola",1283
"Anguilla",101
"Antigua and Barbuda",239
"Argentina",21487
"Armenia",195
"Aruba",3603
"Australia",149298
"Austria",183172
"Azerbaijan",155
"Bahrain",7908
"Bangladesh",7361
"Barbados",212
"Belarus",526
"Belgium",160446
"Belize",957
"Benin",1268
"Bermuda",233
"Bolivia",345
"Bonaire",1769
"Bosnia and Herzegovina",1513
"Botswana",4478
"Brazil",180482
"British Virgin Islands",195
"Brunei",3441
"Bulgaria",19846
"Burkina Faso",673
"Burundi",158
"Cabo Verde",656
"Cambodia",3583
"Cameroon",1332
"Canada",436722
"Canary Islands",7168
"Cayman Islands",101
"Central African Republic",174
"Chad",58
"Chile",34949
"China",2631
"Colombia",23241
"Comoros",34
"Costa Rica",6916
"Cote d'Ivoire",758
"Crimea",287
"Croatia",38321
"Cuba",1600
"Curacao",2015
"Cyprus",1416
"Czech Republic",50649
"Democratic Republic of the Congo",1875
"Denmark",574165
"Djibouti",832
"Dominica",39
"Dominican Republic",1676
"Ecuador",8000
"Egypt",2617
"El Salvador",522
"Equatorial Guinea",214
"Estonia",13932
"Eswatini",1054
"Ethiopia",628
"Faroe Islands",42
"Fiji",531
"Finland",38065
"France",526453
"French Guiana",5240
"French Polynesia",112
"Gabon",973
"Gambia",1441
"Georgia",2316
"Germany",779235
"Ghana",4065
"Gibraltar",3029
"Greece",20955
"Grenada",58
"Guadeloupe",2373
"Guam",880
"Guatemala",2541
"Guinea",871
"Guinea-Bissau",113
"Guyana",145
"Haiti",381
"Honduras",231
"Hong Kong",11867
"Hungary",549
"Iceland",11299
"India",254812
"Indonesia",35639
"Iran",3207
"Iraq",1310
"Ireland",91189
"Israel",131817
"Italy",153220
"Jamaica",2460
"Japan",417200
"Jordan",1549
"Kazakhstan",1500
"Kenya",11213
"Kiribati",137
"Kosovo",1545
"Kuwait",959
"Kyrgyzstan",339
"Laos",518
"Latvia",18486
"Lebanon",2581
"Lesotho",252
"Liberia",110
"Libya",94
"Liechtenstein",1700
"Lithuania",40534
"Luxembourg",45461
"Macao",1
"Madagascar",880
"Malawi",1204
"Malaysia",27692
"Maldives",1294
"Mali",74
"Malta",936
"Marshall Islands",23
"Martinique",3639
"Mauritania",58
"Mauritius",4449
"Mayotte",1216
"Mexico",76827
"Micronesia",17
"Moldova",657
"Monaco",101
"Mongolia",1461
"Montenegro",916
"Montserrat",28
"Morocco",1114
"Mozambique",1310
"Myanmar",150
"Namibia",1844
"Nepal",3413
"Netherlands",139579
"New Caledonia",9
"New Zealand",21629
"Nicaragua",569
"Niger",350
"Nigeria",7333
"North Macedonia",928
"Northern Mariana Islands",3300
"Norway",71771
"Oman",1034
"Pakistan",4133
"Palau",47
"Palestine",761
"Panama",5813
"Papua New Guinea",4609
"Paraguay",2265
"Peru",31481
"Philippines",22371
"Poland",87266
"Portugal",41660
"Puerto Rico",14027
"Qatar",5079
"Republic of the Congo",625
"Reunion",16597
"Romania",16806
"Russia",27927
"Rwanda",917
"Saint Barthelemy",14
"Saint Kitts and Nevis",74
"Saint Lucia",219
"Saint Martin",334
"Saint Vincent and the Grenadines",222
"Sao Tome and Principe",11
"Saudi Arabia",1396
"Senegal",5887
"Serbia",1700
"Seychelles",1413
"Sierra Leone",61
"Singapore",23426
"Sint Eustatius",4
"Sint Maarten",2638
"Slovakia",42499
"Slovenia",75021
"Solomon Islands",246
"Somalia",47
"South Africa",45944
"South Korea",84874
"South Sudan",174
"Spain",158725
"Sri Lanka",3628
"Sudan",439
"Suriname",1124
"Sweden",214201
"Switzerland",152390
"Syria",106
"Taiwan",2515
"Tanzania",11
"Thailand",29979
"The Bahamas",263
"Timor-Leste",357
"Togo",815
"Trinidad and Tobago",3899
"Tunisia",1362
"Turkey",97638
"Turks and Caicos Islands",72
"U.S. Virgin Islands",2313
"Uganda",1323
"Ukraine",1228
"United Arab Emirates",2628
"United Kingdom",2926078
"Uruguay",946
"USA",4085015
"Uzbekistan",90
"Vanuatu",2
"Venezuela",677
"Vietnam",6586
"Wallis and Futuna Islands",10
"Zambia",1844
"Zimbabwe",962
